รมว.	NN	B_DES	B_CLS
ไทย	NN	B_LOC	I_CLS
-	PU	O	I_CLS
กวางโจว	NN	B_LOC	E_CLS
_	PU	O	O
เพื่อ	CC	O	B_CLS
ขยาย	VV	O	I_CLS
ธุรกิจ	NN	O	I_CLS
ด้าน	NN	O	I_CLS
โลจิสติกส์	NN	O	I_CLS
และ	CC	O	I_CLS
เอสเอ็มอี	NN	O	I_CLS
ให้	CC	O	I_CLS
สามารถ	AX	O	I_CLS
พัฒนา	VV	O	I_CLS
เชื่อมโยง	VV	O	I_CLS
กัน	PR	O	E_CLS
_	PU	O	O
ซึ่ง	CC	O	B_CLS
จะ	AX	O	I_CLS
นำ	VV	O	I_CLS
ไป	AV	O	I_CLS
สู่	PS	O	I_CLS
การ	FX	O	I_CLS
สร้าง	VV	O	I_CLS
แนวทาง	NN	O	I_CLS
ความ	FX	O	I_CLS
ร่วมมือ	VV	O	E_CLS
และ	CC	O	B_CLS
จับ	VV	O	I_CLS
คู่	NN	O	I_CLS
พันธมิตร	NN	O	I_CLS
ธุรกิจ	NN	O	I_CLS
การ	FX	O	I_CLS
ค้า	VV	O	I_CLS
ระหว่าง	PS	O	I_CLS
ไทย	NN	B_LOC	I_CLS
และ	CC	O	I_CLS
จีน	NN	B_LOC	E_CLS

เนื่องจาก	CC	O	B_CLS
จีน	NN	B_LOC	I_CLS
มี	VV	O	I_CLS
ปริมาณ	NN	O	I_CLS
การ	FX	O	I_CLS
ขนถ่าย	VV	O	I_CLS
สินค้า	NN	O	E_CLS
และ	CC	O	B_CLS
ตู้	NN	O	I_CLS
คอนเทนเนอร์	NN	O	I_CLS
ใน	PS	O	I_CLS
ท่า	NN	O	I_CLS
เรือ	NN	O	I_CLS
สูง	VV	O	I_CLS
เป็น	VV	O	I_CLS
อันดับ	NN	O	I_CLS
_	PU	O	I_CLS
1	NU	O	I_CLS
_	PU	O	I_CLS
ของ	PS	O	I_CLS
โลก	NN	O	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
มี	VV	O	I_CLS
มูลค่า	NN	O	I_CLS
ทาง	NN	O	I_CLS
เศรษฐกิจ	NN	O	I_CLS
ใหญ่	VV	O	I_CLS
เป็น	VV	O	I_CLS
อันดับ	NN	O	I_CLS
_	PU	O	I_CLS
3	NU	B_NUM	I_CLS
_	PU	O	I_CLS
ของ	PS	O	I_CLS
โลก	NN	O	I_CLS
_	PU	O	I_CLS
โดย	CC	O	I_CLS
กรมอุตสาหกรรม	NN	B_ORG	I_CLS
พื้นฐาน	NN	I_ORG	I_CLS
และ	CC	I_ORG	I_CLS
การ	FX	I_ORG	I_CLS
เหมืองแร่	VV	E_ORG	I_CLS
_	PU	O	I_CLS
(	PU	O	I_CLS
กพร.	NN	B_ORG	I_CLS
)	PU	O	I_CLS
_	PU	O	I_CLS
ได้	AX	O	I_CLS
วาง	VV	O	I_CLS
แผน	NN	O	I_CLS
ผลักดัน	VV	O	E_CLS
และ	CC	O	B_CLS
ขับเคลื่อน	VV	O	I_CLS
แผน	NN	O	I_CLS
ปฏิบัติ	VV	O	I_CLS
การ	FX	O	I_CLS
ระบบ	NN	O	I_CLS
โลจิสติกส์	NN	O	I_CLS
อุตสาหกรรม	NN	O	I_CLS
_	PU	O	I_CLS
4	NU	B_MEA	I_CLS
_	PU	O	I_CLS
ด้าน	CL	B_MEA	I_CLS
_	PU	O	I_CLS
ได้แก่	CC	O	E_CLS

การ	FX	O	B_CLS
เชื่อมโยง	VV	O	I_CLS
ระหว่าง	PS	O	I_CLS
องค์กร	NN	O	I_CLS
ตลอด	VV	O	I_CLS
ห่วงโซ่	NN	O	I_CLS
อุปทาน	NN	O	E_CLS

การ	FX	O	B_CLS
ปรับปรุง	VV	O	I_CLS
ประสิทธิภาพ	NN	O	I_CLS
โลจิสติกส์	NN	O	I_CLS
ภายใน	PS	O	I_CLS
องค์กร	NN	O	E_CLS

การ	FX	O	B_CLS
พัฒนา	VV	O	I_CLS
ขีด	NN	O	I_CLS
ความ	FX	O	I_CLS
สามารถ	VV	O	I_CLS
ด้าน	NN	O	I_CLS
โลจิสติกส์	NN	O	E_CLS

และ	CC	O	B_CLS
การ	FX	O	I_CLS
สร้าง	VV	O	I_CLS
ปัจจัย	NN	O	I_CLS
เอื้อ	VV	O	E_CLS
เพื่อ	CC	O	B_CLS
สนับสนุน	VV	O	I_CLS
การ	FX	O	I_CLS
ประกอบ	VV	O	I_CLS
ธุรกิจ	NN	O	I_CLS
ของ	PS	O	I_CLS
ภาค	NN	O	I_CLS
อุตสาหกรรม	NN	O	E_CLS

ด้าน	NN	O	B_CLS
นาย	NN	B_TTL	I_CLS
ไพโจรน์	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
สัญญะเดชากุล	NN	E_PER	I_CLS
_	PU	O	I_CLS
อธิบดี	NN	O	I_CLS
กรมอุตสาหกรรม	NN	B_ORG	I_CLS
พื้นฐาน	NN	I_ORG	I_CLS
และ	CC	I_ORG	I_CLS
การ	FX	I_ORG	I_CLS
เหมืองแร่	VV	E_ORG	E_CLS
_	PU	O	O
หรือ	CC	O	B_CLS
_	PU	O	O
กพร.	NN	B_ORG	B_CLS
_	PU	O	I_CLS
คาดหวัง	VV	O	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
การ	FX	O	B_CLS
จัดตั้ง	VV	O	I_CLS
ศูนย์กลาง	NN	O	I_CLS
โลจิสติกส์	NN	O	I_CLS
แฝด	NN	O	I_CLS
โลก	NN	O	I_CLS
ระหว่าง	PS	O	I_CLS
ไทย	NN	B_LOC	I_CLS
กวางโจว	VV	O	I_CLS
ภายใน	PS	O	I_CLS
ระยะ	NN	O	I_CLS
เวลา	NN	O	I_CLS
_	PU	O	I_CLS
2-3	NU	B_MEA	I_CLS
_	PU	O	I_CLS
ปี	CL	B_MEA	I_CLS
_	PU	O	I_CLS
จะ	AX	O	I_CLS
สามารถ	AX	O	I_CLS
ลด	VV	O	I_CLS
ค่า	NN	O	I_CLS
ใช้จ่าย	VV	O	I_CLS
ด้าน	NN	O	I_CLS
โลจิสติกส์	NN	O	I_CLS
จาก	PS	O	I_CLS
ร้อย	NU	B_NUM	I_CLS
ละ	AJ	I_NUM	I_CLS
_	PU	I_NUM	I_CLS
19	NU	E_NUM	I_CLS
_	PU	O	I_CLS
ของ	PS	O	I_CLS
จีดีพี	NN	B_TRM	I_CLS
_	PU	O	I_CLS
มา	AV	O	I_CLS
อยู่	VV	O	I_CLS
ที่	PS	O	I_CLS
ร้อย	NU	B_NUM	I_CLS
ละ	AJ	I_NUM	I_CLS
_	PU	I_NUM	I_CLS
15	NU	E_NUM	I_CLS
_	PU	O	I_CLS
ของ	PS	O	I_CLS
จีดีพี	NN	B_TRM	I_CLS
ต่อ	PS	O	I_CLS
ปี	NN	O	I_CLS
ได้	AX	O	E_CLS

