จนท.	NN	B	B_CLS
ไป	AV	O	I_CLS
ยัง	PS	O	I_CLS
ว่าที่	NN	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
ทั้ง	AJ	O	I_CLS
_	PU	O	I_CLS
5	NU	B_NUM	I_CLS
_	PU	O	I_CLS
คน	CL	O	E_CLS
_	PU	O	O
ว่า	CC	O	B_CLS
ต้องการ	VV	O	I_CLS
ข้อมูล	NN	O	E_CLS
_	PU	O	O
หรือ	CC	O	B_CLS
ต้องการ	VV	O	I_CLS
จะ	AX	O	E_CLS
ให้	CC	O	B_CLS
เจ้าหน้าที่	NN	O	I_CLS
ไป	AV	O	I_CLS
บรรยาย	VV	O	I_CLS
สรุป	VV	O	I_CLS
เบื้องต้น	NN	O	I_CLS
หรือไม่	AV	O	E_CLS

ส่วน	CC	O	B_CLS
ใน	PS	O	I_CLS
วันที่	NN	B_DTM	I_CLS
_	PU	O	I_CLS
ว่าที่	NN	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
ทั้ง	AJ	O	I_CLS
_	PU	O	I_CLS
5	NU	B_MEA	I_CLS
_	PU	O	I_CLS
จะ	AX	O	I_CLS
ประชุม	VV	O	E_CLS
เพื่อ	CC	O	B_CLS
เลือก	VV	O	I_CLS
ประธาน	NN	O	I_CLS
นั้น	AJ	O	I_CLS
_	PU	O	I_CLS
เจ้าหน้าที่	NN	O	I_CLS
ก็	CC	O	I_CLS
จะ	AX	O	I_CLS
เข้า	AV	O	I_CLS
ไป	AV	O	I_CLS
มอบ	VV	O	I_CLS
เอกสาร	NN	O	I_CLS
ต่าง	AJ	O	I_CLS
ๆ	PU	O	E_CLS
_	PU	O	O
ที่	CC	O	B_CLS
เกี่ยวข้อง	VV	O	E_CLS
_	PU	O	O
ไม่ว่า	CC	O	B_CLS
จะ	AX	O	I_CLS
เป็น	VV	O	I_CLS
กฎหมาย	NN	O	I_CLS
_	PU	O	I_CLS
ประกาศ	NN	O	I_CLS
_	PU	O	I_CLS
ระเบียบ	NN	O	E_CLS

โดย	CC	O	B_CLS
เรา	PR	O	I_CLS
จะ	AX	O	I_CLS
เตรียม	VV	O	I_CLS
เอกสาร	NN	O	I_CLS
ดังกล่าว	AJ	O	I_CLS
ไว้	AV	O	I_CLS
ให้	VV	O	I_CLS
_	PU	O	I_CLS
3	NU	B_MEA	I_CLS
_	PU	O	I_CLS
ชุด	CL	B_MEA	I_CLS
_	PU	O	I_CLS
โดย	CC	O	I_CLS
ชุด	CL	O	I_CLS
หนึ่ง	NU	O	I_CLS
ให้	CC	O	I_CLS
เก็บ	VV	O	I_CLS
ไว้	AV	O	I_CLS
ที่	PS	O	I_CLS
บ้าน	NN	O	I_CLS
_	PU	O	I_CLS
ชุด	CL	O	I_CLS
หนึ่ง	NU	O	I_CLS
เก็บ	VV	O	I_CLS
ไว้	AV	O	I_CLS
ที่	PS	O	I_CLS
ห้อง	NN	O	I_CLS
ทำงาน	VV	O	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
อีก	AV	O	I_CLS
ชุด	CL	O	I_CLS
หนึ่ง	NU	O	I_CLS
จะ	AX	O	I_CLS
วาง	VV	O	I_CLS
เตรียม	VV	O	I_CLS
ไว้	AV	O	I_CLS
ให้	VV	O	I_CLS
ใน	PS	O	I_CLS
ห้อง	NN	O	I_CLS
ประชุม	VV	O	E_CLS

นอกจาก	PS	O	B_CLS
นี้	AJ	O	I_CLS
เรา	PR	O	I_CLS
ก็	CC	O	I_CLS
จะ	AX	O	I_CLS
แจ้ง	VV	O	I_CLS
สิทธิ	NN	O	I_CLS
ประโยชน์	NN	O	I_CLS
_	PU	O	I_CLS
และ	CC	O	I_CLS
สิทธิ	NN	O	I_CLS
พึง	AX	O	I_CLS
ได้	AX	O	I_CLS
_	PU	O	I_CLS
ให้	CC	O	I_CLS
ว่าที่	NN	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
ทั้ง	AJ	O	I_CLS
_	PU	O	I_CLS
5	NU	B_MEA	I_CLS
_	PU	O	I_CLS
ได้รับ	VV	O	I_CLS
ทราบ	VV	O	I_CLS
_	PU	O	I_CLS
รวม	VV	O	I_CLS
ถึง	PS	O	I_CLS
อำนาจ	NN	O	I_CLS
ใน	PS	O	I_CLS
การ	FX	O	I_CLS
แต่งตั้ง	VV	O	I_CLS
ที่	NN	O	I_CLS
ปรึกษา	VV	O	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
ผู้	FX	O	I_CLS
เชี่ยวชาญ	VV	O	I_CLS
ส่วน	NN	O	I_CLS
ตัว	NN	O	I_CLS
ด้วย	AV	O	E_CLS

ทั้งนี้	CC	O	B_CLS
จะ	AX	O	I_CLS
มอบ	VV	O	I_CLS
แผนผัง	NN	O	I_CLS
ห้อง	NN	O	I_CLS
ทำงาน	VV	O	I_CLS
ให้	AV	O	E_CLS
_	PU	O	O
เพื่อ	CC	O	B_CLS
ให้	CC	O	I_CLS
แต่ละ	AJ	O	I_CLS
คน	CL	O	I_CLS
เลือก	VV	O	E_CLS
ว่า	CC	O	B_CLS
ต้องการ	VV	O	I_CLS
ทำงาน	VV	O	I_CLS
ใน	PS	O	I_CLS
ห้อง	NN	O	I_CLS
ไหน	AJ	O	E_CLS

ส่วน	CC	O	B_CLS
เรื่อง	NN	O	I_CLS
การ	FX	O	I_CLS
เลือก	VV	O	I_CLS
เลขาธิการ	NN	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
นั้น	AJ	O	I_CLS
_	PU	O	I_CLS
นาย	NN	B_TTL	I_CLS
สถาพร	NN	B_PER	I_CLS
กล่าว	VV	O	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
ตำแหน่ง	NN	O	B_CLS
เลขาธิการ	NN	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
ตาม	PS	O	I_CLS
พ.ร.บ.	NN	B	I_CLS
กกต.	NN	B_ORG	I_CLS
มาตรา	NN	O	I_CLS
_	PU	O	I_CLS
28	NU	O	I_CLS
_	PU	O	I_CLS
ระบุ	VV	O	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
เลขาธิการ	NN	O	B_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
นั้น	AJ	O	I_CLS
มา	VV	O	I_CLS
จาก	PS	O	I_CLS
การ	FX	O	I_CLS
แต่งตั้ง	VV	O	I_CLS
ของ	PS	O	I_CLS
ประธาน	NN	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	E_CLS
โดย	CC	O	B_CLS
ความ	FX	O	I_CLS
เห็นชอบ	VV	O	I_CLS
ของ	PS	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
และ	CC	O	E_CLS
_	PU	O	O
มาตรา	NN	O	B_CLS
_	PU	O	I_CLS
29	NU	O	I_CLS
_	PU	O	I_CLS
ระบุ	VV	O	I_CLS
คุณสมบัติ	NN	O	I_CLS
ของ	PS	O	I_CLS
_	PU	O	I_CLS
เลขาธิการ	NN	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
ต้อง	AX	O	B_CLS
มี	VV	O	I_CLS
ความ	FX	O	I_CLS
ซื่อสัตย์สุจริต	VV	O	I_CLS
_	PU	O	I_CLS
เป็น	VV	O	E_CLS
ที่	CC	O	B_CLS
ประจักษ์	VV	O	E_CLS

มี	VV	O	B_CLS
สัญชาติ	NN	O	I_CLS
ไทย	NN	B_LOC	E_CLS
โดย	CC	O	B_CLS
การ	FX	O	I_CLS
เกิด	VV	O	I_CLS
_	PU	O	I_CLS
มี	VV	O	I_CLS
อายุ	NN	O	I_CLS
ไม่	NG	O	I_CLS
เกิน	VV	O	I_CLS
_	PU	O	I_CLS
65	NU	B_MEA	I_CLS
_	PU	I_MEA	I_CLS
ปี	CL	E_MEA	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
มี	VV	O	I_CLS
คุณวุฒิ	NN	O	I_CLS
ประสบการณ์	NN	O	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
ความ	FX	O	I_CLS
สำเร็จ	VV	O	I_CLS
ด้าน	NN	O	I_CLS
การ	FX	O	I_CLS
บริหาร	VV	O	E_CLS
_	PU	O	O
ตามที่	CC	O	B_CLS
_	PU	O	O
กกต.	NN	B_ORG	B_CLS
กำหนด	VV	O	E_CLS

ทั้งนี้	CC	O	B_CLS
ใน	PS	O	I_CLS
ส่วน	NN	O	I_CLS
ของ	PS	O	I_CLS
_	PU	O	I_CLS
พล.ต.ต.	NN	B_DES	I_CLS
เอกชัย	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
วารุณประภา	NN	E_PER	I_CLS
_	PU	O	I_CLS
อดีต	NN	O	I_CLS
เลขาธิการ	NN	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
ที่	CC	O	I_CLS
เคย	AX	O	I_CLS
ยื่น	VV	O	I_CLS
ใบ	NN	O	I_CLS
ลาออก	VV	O	I_CLS
ไว้	AV	O	I_CLS
กับ	PS	O	I_CLS
ตน	PR	O	I_CLS
นั้น	AJ	O	I_CLS
_	PU	O	I_CLS
ตอน	NN	O	I_CLS
นี้	AJ	O	I_CLS
ทาง	NN	O	I_CLS
สำนักงาน	NN	O	I_CLS
ยัง	AX	O	I_CLS
ถือ	VV	O	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
พล.ต.ต.	NN	B_DES	B_CLS
เอกชัย	NN	B_PER	I_CLS
_	PU	O	I_CLS
ยัง	AX	O	I_CLS
ลา	VV	O	I_CLS
พักผ่อน	VV	O	I_CLS
อยู่	VV	O	E_CLS
_	PU	O	O
จนกว่า	CC	O	B_CLS
_	PU	O	O
กกต.	NN	B_ORG	B_CLS
ชุด	CL	O	I_CLS
ใหม่	VV	O	I_CLS
จะ	AX	O	I_CLS
เข้า	AV	O	I_CLS
มา	AV	O	I_CLS
อนุมัติ	VV	O	I_CLS
ใบ	NN	O	I_CLS
ลาออก	VV	O	I_CLS
ของ	PS	O	I_CLS
_	PU	O	I_CLS
พล.ต.ต.	NN	B_DES	I_CLS
เอกชัย	NN	B_PER	E_CLS

