สวนสัตว์เปิดเขาเขียว	NN	B_NAME	B_CLS
นี้	AJ	O	I_CLS
เป็น	VV	O	I_CLS
ปี	NN	O	I_CLS
มหามงคล	NN	O	I_CLS
อย่าง	FX	O	I_CLS
ยิ่ง	VV	O	E_CLS
และ	CC	O	B_CLS
เป็น	VV	O	I_CLS
ปี	NN	O	E_CLS
ที่	CC	O	B_CLS
ทาง	NN	O	I_CLS
สวนสัตว์	NN	B_ORG	I_CLS
เปิด	VV	I_ORG	I_CLS
เขาเขียว	NN	E_ORG	I_CLS
ได้	AX	O	I_CLS
เพาะ	VV	O	I_CLS
ขยาย	VV	O	I_CLS
พันธ์	NN	O	I_CLS
สัตว์	NN	O	I_CLS
ป่า	NN	O	I_CLS
หา	VV	O	I_CLS
ยาก	VV	O	I_CLS
เช่น	CC	O	E_CLS
_	PU	O	O
เสือโคร่งไซบีเรีย	NN	O	B_CLS
_	PU	O	I_CLS
สิงโต	NN	O	I_CLS
_	PU	O	I_CLS
มาร์โมเซทหูดำ	NN	O	I_CLS
_	PU	O	I_CLS
ลิง	NN	O	I_CLS
พันธุ์	NN	O	I_CLS
เล็ก	VV	O	I_CLS
ที่สุด	AV	O	I_CLS
ใน	PS	O	I_CLS
โลก	NN	O	E_CLS
_	PU	O	O
ที่	CC	O	B_CLS
ตกลูก	VV	O	I_CLS
_	PU	O	I_CLS
2	NU	B_NUM	I_CLS
_	PU	O	I_CLS
ตัว	CL	O	I_CLS
เมื่อ	PS	O	I_CLS
วัน	NN	O	I_CLS
ก่อน	AV	O	I_CLS
เช่น	NN	O	I_CLS
เดียว	NU	O	I_CLS
กัน	PR	O	I_CLS
_	PU	O	I_CLS
เป็น	VV	O	I_CLS
ผล	NN	O	I_CLS
สำเร็จ	VV	O	I_CLS
ตาม	VV	O	I_CLS
ความ	FX	O	I_CLS
มุ่งหมาย	VV	O	E_CLS

แกะ	NN	O	B_CLS
บาร์บารี	NN	O	I_CLS
_	PU	O	I_CLS
(	PU	O	I_CLS
BARBARY	NN	O	I_CLS
_	PU	O	I_CLS
SHEEP	NN	O	I_CLS
)	PU	O	I_CLS
_	PU	O	I_CLS
เป็น	VV	O	I_CLS
แกะ	NN	O	I_CLS
ป่า	NN	O	I_CLS
ชนิด	CL	O	I_CLS
หนึ่ง	NU	O	E_CLS
ที่	CC	O	B_CLS
พบ	VV	O	I_CLS
ใน	PS	O	I_CLS
ทวีป	NN	B_LOC	I_CLS
แอฟริกา	NN	E_LOC	I_CLS
_	PU	O	I_CLS
พบ	VV	O	I_CLS
มาก	VV	O	I_CLS
ตาม	PS	O	I_CLS
ชาย	NN	O	I_CLS
ฝั่ง	NN	O	I_CLS
มหาสมุทร	NN	B_LOC	I_CLS
แอตแลนติก	NN	E_LOC	I_CLS
_	PU	O	I_CLS
จนถึง	PS	O	I_CLS
ทะเล	NN	B_LOC	I_CLS
แดง	VV	E_LOC	I_CLS
ทาง	NN	O	I_CLS
ตอน	NN	O	I_CLS
เหนือ	NN	O	I_CLS
ของ	PS	O	I_CLS
ทวีป	NN	B_LOC	I_CLS
แอฟริกา	NN	E_LOC	I_CLS
_	PU	O	I_CLS
ชอบ	VV	O	I_CLS
อยู่	VV	O	I_CLS
ตาม	PS	O	I_CLS
ภูเขา	NN	O	E_CLS
ที่	CC	O	B_CLS
แห้งแล้ง	VV	O	I_CLS
_	PU	O	I_CLS
มี	VV	O	I_CLS
ลำตัว	NN	O	I_CLS
ยาว	VV	O	I_CLS
_	PU	O	I_CLS
1.3-1.9	NU	B_MEA	I_CLS
_	PU	I_MEA	I_CLS
เมตร	CL	E_MEA	I_CLS
_	PU	O	I_CLS
หาง	NN	O	I_CLS
ยาว	VV	O	I_CLS
_	PU	O	I_CLS
25	NU	B_MEA	I_CLS
_	PU	I_MEA	I_CLS
เซนติเมตร	CL	E_MEA	I_CLS
_	PU	O	I_CLS
มี	VV	O	I_CLS
ขน	NN	O	I_CLS
แผง	NN	O	I_CLS
คอ	NN	O	I_CLS
ยาว	VV	O	I_CLS
นุ่ม	VV	O	I_CLS
_	PU	O	I_CLS
มี	VV	O	I_CLS
ขน	NN	O	I_CLS
หนา	VV	O	I_CLS
ที่	PS	O	I_CLS
คอ	NN	O	I_CLS
_	PU	O	I_CLS
หน้าอก	NN	O	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
มี	VV	O	I_CLS
เขา	NN	O	I_CLS
ขนาด	NN	O	I_CLS
ใหญ่	VV	O	I_CLS
ทั้ง	CC	O	I_CLS
เพศ	NN	O	I_CLS
ผู้	FX	O	I_CLS
และ	CC	O	I_CLS
เพศ	NN	O	I_CLS
เมีย	NN	O	I_CLS
_	PU	O	I_CLS
แกะ	NN	O	I_CLS
บาร์บารี	NN	O	I_CLS
จะ	AX	O	I_CLS
อยู่	VV	O	I_CLS
เป็น	VV	O	I_CLS
ครอบครัว	NN	O	I_CLS
เล็ก	VV	O	I_CLS
ๆ	PU	O	I_CLS
_	PU	O	I_CLS
โดย	CC	O	I_CLS
พ่อแม่	NN	O	I_CLS
และ	CC	O	I_CLS
ลูก	NN	O	I_CLS
ๆ	PU	O	I_CLS
_	PU	O	I_CLS
จะ	AX	O	I_CLS
หลีกเลี่ยง	VV	O	I_CLS
ศัตรู	NN	O	E_CLS
โดย	CC	O	B_CLS
การ	FX	O	I_CLS
พราง	VV	O	I_CLS
ตัว	NN	O	I_CLS
ด้วย	PS	O	I_CLS
ขน	NN	O	I_CLS
สี	NN	O	I_CLS
น้ำตาล	VV	O	I_CLS
อ่อน	VV	O	I_CLS
กลมกลืน	VV	O	I_CLS
กับ	PS	O	I_CLS
สี	NN	O	I_CLS
ของ	PS	O	I_CLS
ทราย	NN	O	E_CLS

นาย	NN	B_TTL	B_CLS
สุริยา	NN	B_PER	I_CLS
_	PU	O	I_CLS
กล่าว	VV	O	I_CLS
ต่อ	VV	O	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
ขณะนี้	NN	O	B_CLS
แกะ	NN	O	I_CLS
บาร์บารี	NN	O	I_CLS
ใกล้	VV	O	I_CLS
จะ	AX	O	I_CLS
สูญ	VV	O	I_CLS
พันธุ์	NN	O	I_CLS
แล้ว	AX	O	E_CLS
_	PU	O	O
เนื่องจาก	CC	O	B_CLS
ประชาชน	NN	O	I_CLS
ใน	PS	O	I_CLS
ทวีป	NN	B_LOC	I_CLS
แอฟริกา	NN	E_LOC	I_CLS
มัก	AX	O	I_CLS
จะ	AX	O	I_CLS
ล่า	VV	O	I_CLS
เอา	VV	O	I_CLS
เนื้อ	NN	O	I_CLS
_	PU	O	I_CLS
มา	AV	O	I_CLS
เป็น	VV	O	I_CLS
อาหาร	NN	O	I_CLS
_	PU	O	I_CLS
ส่วน	CC	O	I_CLS
หนัง	NN	O	I_CLS
_	PU	O	I_CLS
ขน	NN	O	I_CLS
_	PU	O	I_CLS
และ	CC	O	I_CLS
เอ็น	NN	O	I_CLS
_	PU	O	I_CLS
ทำ	VV	O	I_CLS
เป็น	VV	O	I_CLS
เครื่อง	NN	O	I_CLS
ประดับ	VV	O	I_CLS
_	PU	O	I_CLS
แกะ	NN	O	I_CLS
บาร์บารี	NN	O	I_CLS
นั้น	AJ	O	I_CLS
_	PU	O	I_CLS
ชอบ	VV	O	I_CLS
กิน	VV	O	I_CLS
หญ้า	NN	O	I_CLS
_	PU	O	I_CLS
เปลือก	NN	O	I_CLS
ไม้	NN	O	E_CLS

โดย	CC	O	B_CLS
ได้	VV	O	I_CLS
น้ำ	NN	O	I_CLS
จาก	PS	O	I_CLS
อาหาร	NN	O	E_CLS
และ	CC	O	B_CLS
เลีย	VV	O	I_CLS
น้ำ	NN	O	I_CLS
ค้าง	VV	O	I_CLS
กิน	VV	O	I_CLS
ใน	PS	O	I_CLS
การ	FX	O	I_CLS
ประทัง	VV	O	I_CLS
ชีวิต	NN	O	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
จะ	AX	O	I_CLS
ออก	VV	O	I_CLS
ลูก	NN	O	I_CLS
ครั้ง	CL	B_MEA	I_CLS
ละ	AJ	I_MEA	I_CLS
_	PU	I_MEA	I_CLS
1-2	NU	I_MEA	I_CLS
_	PU	I_MEA	I_CLS
ตัว	CL	E_MEA	I_CLS
_	PU	O	I_CLS
ปี	CL	B_MEA	I_CLS
ละ	AJ	I_MEA	I_CLS
_	PU	I_MEA	I_CLS
1	NU	I_MEA	I_CLS
_	PU	I_MEA	I_CLS
ครั้ง	CL	E_MEA	I_CLS
เท่านั้น	AJ	O	I_CLS
_	PU	O	I_CLS
จึง	CC	O	I_CLS
ทำให้	CC	O	I_CLS
ใกล้	VV	O	I_CLS
สูญ	VV	O	I_CLS
พันธุ์	NN	O	I_CLS
ไป	VV	O	I_CLS
จาก	PS	O	I_CLS
โลก	NN	O	I_CLS
นี้	AJ	O	I_CLS
แล้ว	AX	O	E_CLS
_	PU	O	O
เนื่องจาก	CC	O	B_CLS
ว่า	CC	O	I_CLS
ชน	NN	O	I_CLS
พื้นเมือง	NN	O	I_CLS
บาง	AJ	O	I_CLS
กลุ่ม	CL	O	I_CLS
ยัง	AX	O	I_CLS
ล่า	VV	O	E_CLS
เพื่อ	CC	O	B_CLS
นำ	VV	O	I_CLS
เนื้อ	NN	O	I_CLS
เป็น	VV	O	I_CLS
อาหาร	NN	O	E_CLS

"	PU	O	B_CLS
นับ	VV	O	I_CLS
ได้	AX	O	E_CLS
ว่า	CC	O	B_CLS
ทาง	NN	O	I_CLS
สวนสัตว์	NN	B_ORG	I_CLS
เปิด	VV	I_ORG	I_CLS
เขาเขียว	NN	E_ORG	I_CLS
นั้น	AJ	O	I_CLS
มี	VV	O	I_CLS
ทีม	NN	O	I_CLS
สัตวแพทย์	NN	O	E_CLS
ที่	CC	O	B_CLS
มี	VV	O	I_CLS
ความรู้	NN	O	I_CLS
ความ	FX	O	I_CLS
สามารถ	VV	O	I_CLS
จึง	CC	O	I_CLS
สามารถ	AX	O	I_CLS
เพาะ	VV	O	I_CLS
ขยาย	VV	O	I_CLS
พันธุ์	NN	O	I_CLS
แกะ	NN	O	I_CLS
บาร์บารี	NN	O	I_CLS
ได้	AX	O	I_CLS
เป็น	VV	O	I_CLS
ครอก	CL	O	I_CLS
ที่	PS	O	I_CLS
_	PU	O	I_CLS
2	NU	O	I_CLS
_	PU	O	I_CLS
ใน	PS	O	I_CLS
ปี	NN	O	I_CLS
นี้	AJ	O	I_CLS
ได้	AX	O	I_CLS
ถึง	VV	O	I_CLS
_	PU	O	I_CLS
2	NU	B_NUM	I_CLS
_	PU	O	I_CLS
ตัว	CL	O	I_CLS
ทั้ง	CC	O	I_CLS
เพศ	NN	O	I_CLS
ผู้	FX	O	I_CLS
และ	CC	O	I_CLS
เพศ	NN	O	I_CLS
เมีย	NN	O	I_CLS
นับ	VV	O	E_CLS
ว่า	CC	O	B_CLS
เป็น	VV	O	I_CLS
ความ	FX	O	I_CLS
โชค	NN	O	I_CLS
ดี	VV	O	I_CLS
ของ	PS	O	I_CLS
สวนสัตว์	NN	B_ORG	I_CLS
เปิด	VV	I_ORG	I_CLS
เขาเขียว	NN	E_ORG	I_CLS
เป็น	VV	O	I_CLS
อย่าง	FX	O	I_CLS
ยิ่ง	VV	O	I_CLS
"	PU	O	I_CLS
_	PU	O	I_CLS
ผู้	FX	O	I_CLS
อำนวยการ	VV	O	I_CLS
สวนสัตว์	NN	B_ORG	I_CLS
เปิด	VV	I_ORG	I_CLS
เขาเขียว	NN	E_ORG	I_CLS
กล่าว	VV	O	E_CLS

